index,Agrawal_bias,Agrawal_weighted_mae_0,Agrawal_weighted_mae_0.5,Agrawal_weighted_mae_1,Agrawal_weighted_mae_1.5,Agrawal_censored_fraction,Agrawal_accuracy,Agrawal_overestimation_rate,Agrawal_underestimation_rate,Agrawal_gini_coefficient,Agrawal_overstock,POS,Magazine
1927,-1.9268292682926829,2.024390243902439,2.2035978193685115,2.4405286343612334,2.7570814285685468,0.3106060606060606,0.0975609756097561,0.048780487804878,0.8536585365853658,0.3679106670584777,2.0,EHI2106626,A
1928,-0.3939393939393939,0.5757575757575758,0.5786273136425254,0.582089552238806,0.5862531706544748,0.25,0.4848484848484848,0.0303030303030303,0.4848484848484848,0.535885167464115,3.0,EHI2154928,A
1929,-1.4523809523809523,1.4523809523809523,1.5282331567221237,1.6073298429319371,1.6884411935011792,0.3181818181818182,0.2142857142857142,0.0,0.7857142857142857,0.4492583918813428,0.0,EHI2219534,A
1930,-1.3902439024390243,1.4390243902439024,1.5003543328120097,1.5588235294117647,1.61596578233269,0.3228346456692913,0.2195121951219512,0.024390243902439,0.7560975609756098,0.3836295990078544,1.0,EHI2248857,A
1931,-2.41025641025641,2.41025641025641,2.512136660500812,2.6108949416342413,2.706880540432532,0.2954545454545454,0.0769230769230769,0.0,0.9230769230769232,0.314238952536825,0.0,EHI2255880,A
1932,-0.7804878048780488,0.8292682926829268,0.8558105961022476,0.8936170212765957,0.946228257846248,0.3106060606060606,0.2195121951219512,0.024390243902439,0.7560975609756098,0.2639885222381635,1.0,EHI2267006,A
1933,-0.6363636363636364,0.7727272727272727,0.8083939273872885,0.8585858585858586,0.926978374199443,0.3464566929133858,0.3181818181818182,0.0454545454545454,0.6363636363636364,0.3917112299465242,3.0,EHI2270401,A
1934,-0.625,0.6875,0.7080074465244278,0.7297297297297297,0.7522985031313199,0.2424242424242424,0.3125,0.03125,0.65625,0.3125,1.0,EHI2272918,A
1935,-0.1724137931034483,0.7241379310344828,0.7399446578042723,0.7575757575757576,0.7768550172851333,0.2959183673469387,0.3103448275862069,0.2413793103448276,0.4482758620689655,0.3415435139573071,8.0,EHI2280000,A
1936,-1.9090909090909087,2.1515151515151514,2.4826970137985795,2.855421686746988,3.2528841284131618,0.3235294117647059,0.0303030303030303,0.1212121212121212,0.8484848484848485,0.3465642338881776,4.0,EHI2313418,A
