index,Bayesian_bias,Bayesian_weighted_mae_0,Bayesian_weighted_mae_0.5,Bayesian_weighted_mae_1,Bayesian_weighted_mae_1.5,Bayesian_censored_fraction,Bayesian_accuracy,Bayesian_overestimation_rate,Bayesian_underestimation_rate,Bayesian_gini_coefficient,Bayesian_overstock,POS,Magazine
5854,1.0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,0.1578947368421052,0.0,0.3333333333333333,0.6666666666666666,0.3809523809523809,5.0,EHE7125289,D
5855,-1.4166666666666667,1.9166666666666667,2.0249752436798905,2.147058823529412,2.2792002794276525,0.3333333333333333,0.0833333333333333,0.0833333333333333,0.8333333333333334,0.2934782608695652,3.0,EHE7309768,D
5856,-0.6666666666666666,1.0,1.0,1.0,1.0,0.1132075471698113,0.0,0.1666666666666666,0.8333333333333334,0.0,1.0,EHE7383478,D
5857,-0.2,2.2,2.183503419072274,2.1666666666666665,2.14982991426106,0.0961538461538461,0.0,0.2,0.8,0.3272727272727274,5.0,EHE7465939,D
5858,2.0,2.8,2.8000000000000003,2.8,2.8000000000000003,0.2941176470588235,0.0,0.6,0.4,0.4285714285714286,12.0,EHE7492412,D
5859,-1.1333333333333333,2.466666666666667,2.604937953378532,2.765957446808511,2.9414217670985425,0.3191489361702128,0.0,0.1333333333333333,0.8666666666666667,0.3387387387387388,10.0,EHE7494199,D
5860,0.4,2.0,1.978492263553174,1.9545454545454544,1.928293602556954,0.3389830508474576,0.0,0.35,0.65,0.3799999999999999,24.0,EHE7505449,D
5861,-2.210526315789474,2.526315789473684,2.7027801315582782,2.869565217391304,3.0203776698802467,0.3220338983050847,0.0,0.0526315789473684,0.9473684210526316,0.2412280701754385,3.0,EHE7535851,D
5862,-1.2,2.2,2.298310162629267,2.421052631578948,2.5696284936492813,0.3389830508474576,0.0,0.1,0.9,0.3045454545454544,10.0,EHE7856850,D
5863,-1.105263157894737,2.3684210526315788,2.449747737989614,2.540983606557377,2.6378152476466545,0.3333333333333333,0.0526315789473684,0.1052631578947368,0.8421052631578947,0.3602339181286551,12.0,EHE7872777,D
5864,-3.555555555555556,3.555555555555556,3.7351730656411273,3.9072164948453607,4.069180769379432,0.3050847457627119,0.0,0.0,1.0,0.2309027777777776,0.0,EHE7925551,D
5865,1.5714285714285714,2.4285714285714284,2.4285714285714284,2.4285714285714284,2.4285714285714284,0.2,0.0,0.5714285714285714,0.4285714285714285,0.3529411764705883,14.0,EHE7933831,D
5866,1.0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,0.0535714285714285,0.0,0.3333333333333333,0.6666666666666666,0.3809523809523809,5.0,EHE7970517,D
5867,0.1052631578947368,1.894736842105263,1.899492333189715,1.9047619047619049,1.91050841202748,0.3220338983050847,0.0526315789473684,0.3157894736842105,0.631578947368421,0.3830409356725146,19.0,EHE8055854,D
5868,-1.5384615384615383,1.5384615384615383,1.6682104364448784,1.805555555555556,1.9449065202053328,0.2363636363636363,0.0769230769230769,0.0,0.9230769230769232,0.2923076923076924,0.0,EHE8320856,D
5869,-1.8,2.6,2.6550691301591445,2.7313432835820897,2.8277839660922064,0.3389830508474576,0.0,0.05,0.95,0.2749999999999999,8.0,EHE8646147,D
5870,-0.8571428571428571,2.0,2.025661213554883,2.0526315789473686,2.0800756370063422,0.2372881355932203,0.0,0.1428571428571428,0.8571428571428571,0.2653061224489796,8.0,EHE8680724,D
5871,-0.1333333333333333,1.7333333333333334,1.7448041261049734,1.7575757575757576,1.7715767453029578,0.3488372093023256,0.0,0.2666666666666666,0.7333333333333333,0.2820512820512821,12.0,EHE8719978,D
5872,-0.35,2.05,2.0615551944674344,2.07843137254902,2.101048630815927,0.3389830508474576,0.05,0.2,0.75,0.3890243902439023,17.0,EHE8737099,D
5873,0.7142857142857143,1.8571428571428568,1.857142857142857,1.8571428571428568,1.857142857142857,0.1206896551724138,0.0,0.4285714285714285,0.5714285714285714,0.3296703296703298,9.0,EHE8774179,D
5874,-0.55,1.75,1.7848381316064577,1.826086956521739,1.8740284413625172,0.3389830508474576,0.0,0.2,0.8,0.3128571428571427,12.0,EHE8854909,D
5875,-0.95,2.35,2.416303716151663,2.491228070175439,2.57296194319754,0.3389830508474576,0.05,0.15,0.8,0.3265957446808509,14.0,EHE8868464,D
